345,MLPL,Multipolar Tbk,06-Nop-1989
346,MLPT,PT Multipolar Technology Tbk.,8-Jul-13
347,MMLP,PT Mega Manunggal Property Tbk.,12-Jun-15
348,MNCN,Media Nusantara Citra Tbk,22-Jun-07
349,MPMX,PT Mitra Pinasthika Mustika Tbk.,29-Mei-2013
350,MPPA,Matahari Putra Prima Tbk,21-Des-1992
351,MRAT,Mustika Ratu Tbk,27-Jul-95
352,MREI,Maskapai Reasuransi Indonesia Tbk,4-Sep-89
353,MSKY,MNC Sky Vision Tbk,9-Jul-12
354,MTDL,Metrodata Electronics Tbk,9-Apr-90
355,MTFN,Capitalinc Investment Tbk,16-Apr-90
356,MTLA,Metropolitan Land Tbk,20-Jun-11
357,MTRA,PT Mitra Pemuda Tbk.,10-Feb-16
358,MTSM,Metro Realty Tbk,8-Jan-92
359,MYOH,Samindo Resources Tbk,27-Jul-00
360,MYOR,Mayora Indah Tbk,4-Jul-90
361,MYRX,Hanson International Tbk,31-Okt-1990
362,MYTX,APAC Citra Centertex Tbk,10-Okt-1989
363,NAGA,PT Bank Mitraniaga Tbk.,9-Jul-13
364,NELY,Pelayaran Nelly Dwi Putri Tbk,11-Okt-2012
365,NIKL,Pelat Timah Nusantara Tbk,14-Des-2009
366,NIPS,Nipress Tbk,24-Jul-91
367,NIRO,Nirvana Development Tbk,13-Sep-12
368,NISP,Bank OCBC NISP Tbk,20-Okt-1994
369,NOBU,PT Bank Nationalnobu Tbk.,20-Mei-2013
370,NRCA,PT Nusa Raya Cipta Tbk.,27-Jun-13
371,OASA,PT Protech Mitra Perkasa Tbk,18-Jul-16
372,OCAP,ONIX CAPITAL Tbk,10-Nop-2003
373,OKAS,Ancora Indonesia Resources Tbk,29-Mar-06
374,OMRE,Indonesia Prima Property Tbk,22-Agust-1994
375,PADI,Minna Padi Investama Tbk,9-Jan-12
376,PALM,Provident Agro Tbk,08-Okt-2012
377,PANR,Panorama Sentrawisata Tbk,1-Jan-50
378,PANS,Panin Sekuritas Tbk,31-Des-2000
379,PBRX,Pan Brothers Tbk,16-Agust-1990
380,PBSA,PT Paramita Bangun Sarana Tbk,28-Sep-16
381,PDES,Destinasi Tirta Nusantara Tbk,8-Jul-08
382,PEGE,Panca Global Securities Tbk,24-Jun-05
383,PGAS,Perusahaan Gas Negara (Persero) Tbk,15-Des-2003
384,PGLI,Pembangunan Graha Lestari Tbk,5-Apr-00
385,PICO,Pelangi Indah Canindo Tbk,23-Sep-96
386,PJAA,Pembangunan Jaya Ancol Tbk,2-Jul-04
387,PKPK,Perdana Karya Perkasa Tbk,11-Jul-07
388,PLAS,Polaris Investama Tbk,16-Mar-01
389,PLIN,Plaza Indonesia Realty Tbk,15-Jun-92
390,PNBN,Bank Pan Indonesia Tbk,29-Des-1982
391,PNBS,PT Bank Panin Dubai Syariah Tbk.,15-Jan-14
392,PNIN,Paninvest Tbk,20-Sep-83
393,PNLF,Panin Financial Tbk,14-Jun-93
394,PNSE,Pudjiadi & Sons Tbk,01-Mei-1990
395,POLY,Asia Pacific Fibers Tbk,12-Mar-91
396,POOL,Pool Advista Indonesia Tbk,20-Mei-1991
397,PORT,PT Nusantara Pelabuhan Handal Tbk.,16-Mar-17
398,POWR,PT Cikarang Listrindo Tbk.,14-Jun-16
399,PPRO,PT PP Properti Tbk.,19-Mei-2015
400,PRAS,Prima Alloy Steel Universal Tbk,12-Jul-90
401,PRDA,PT Prodia Widyahusada Tbk.,07-Des-2016
402,PSAB,J RESOURCES ASIA PASIFIK Tbk,01-Des-2007
403,PSDN,Prasidha Aneka Niaga Tbk,18-Okt-1994
404,PSKT,PT Red Planet Indonesia Tbk,19-Sep-95
405,PTBA,Tambang Batubara Bukit Asam Tbk,23-Des-2002
406,PTIS,Indo Straits Tbk,12-Jul-11
407,PTPP,PP (Persero) Tbk,9-Feb-10
408,PTRO,Petrosea Tbk,21-Mei-1990
409,PTSN,Sat Nusapersada Tbk,08-Nop-2007
410,PTSP,Pioneerindo Gourmet International Tbk,30-Mei-1994
411,PUDP,Pudjiadi Prestige Tbk,18-Nop-1994
412,PWON,Pakuwon Jati Tbk,09-Okt-1989
413,PYFA,Pyridam Farma Tbk,16-Okt-2001
414,RAJA,Rukun Raharja Tbk,19-Apr-06
415,RALS,Ramayana Lestari Sentosa Tbk,24-Jul-96
416,RANC,Supra Boga Lestari Tbk,7-Jun-12
417,RBMS,Ristia Bintang Mahkotasejati Tbk,19-Des-1997
418,RDTX,Roda Vivatex Tbk,14-Mei-1990
419,RELI,Reliance Securities Tbk,13-Jul-05
420,RICY,Ricky Putra Globalindo Tbk,22-Jan-98
421,RIGS,Rig Tenders Tbk,26-Mar-90
422,RIMO,PT Rimo International Lestari Tbk.,10-Nop-2000
423,RMBA,Bentoel International Investama Tbk,5-Mar-90
424,RODA,Pikko Land Development Tbk,22-Okt-2001
425,ROTI,Nippon Indosari Corpindo Tbk,28-Jun-10
426,RUIS,Radiant Utama Interinsco Tbk,12-Jul-06
427,SAFE,Steady Safe Tbk,15-Agust-1994
428,SAME,Sarana Meditama Metropolitan Tbk,11-Jan-13
429,SCBD,Danayasa Arthatama Tbk,31-Des-2099
430,SCCO,Supreme Cable Manufacturing Corporation Tbk,20-Jul-82
431,SCMA,Surya Citra Media Tbk,16-Jul-02
432,SCPI,Merck Sharp Dohme Pharma Tbk,8-Jun-90
433,SDMU,Sidomulyo Selaras Tbk,12-Jul-11
434,SDPC,Millennium Pharmacon International Tbk,07-Mei-1990
435,SDRA,PT Bank Woori Saudara Indonesia 1906 Tbk,15-Des-2006
436,SGRO,Sampoerna Agro Tbk,18-Jun-07
437,SHID,Hotel Sahid Jaya Tbk,08-Mei-1990
438,SHIP,PT Sillo Maritime Perdana Tbk,16-Jun-16
439,SIAP,Sekawan Intipratama Tbk,17-Okt-2008
440,SIDO,PT Industri Jamu dan Farmasi Sido Muncul Tbk,18-Des-2013
441,SILO,PT Siloam International Hospitals Tbk.,12-Sep-13
442,SIMA,Siwani Makmur Tbk,3-Jun-94
443,SIMP,Salim Ivomas Pratama Tbk,9-Jun-11
444,SIPD,Sierad Produce Tbk,27-Des-1996
445,SKBM,Sekar Bumi Tbk,5-Jan-93
446,SKLT,Sekar Laut Tbk,8-Sep-93
447,SKYB,Skybee Tbk,7-Jul-10
